block,cashTotalSupply,vaultCheckBalance,vaultNetAssetValue,Diff,Balance,RBT
40157497,3595845.30566965592008309,3595823.618493,0.0,22,944026027753104836,3720856085405640844
40158497,3595845.305669655920083091,3595820.496049,0.0,25,944026027753104836,3720856085405640844
40159497,3594267.676010822346154319,3594228.171035,0.0,39,944026027753104836,3720856085405640844
40160497,3590947.676010822346154319,3590906.19754,0.0,41,944026027753104836,3720856085405640844
40161497,3590947.676010822346154319,3590910.583513,0.0,37,944026027753104836,3720856085405640844
40162497,3590697.676010822346154319,3590660.956642,0.0,37,944026027753104836,3720856085405640844
40163497,3589711.842208808158804096,3589684.035702,0.0,27,944026027753104836,3720856085405640844
40164497,3589711.842208808158804096,3589683.97848,0.0,28,944026027753104836,3720856085405640844
40165497,3589735.098307945058804096,3589692.383065,0.0,43,944026027753104836,3720856085405640844
40166497,3589735.098307945058804096,3589688.693734,0.0,47,944026027753104836,3720856085405640844
40167497,3589634.098307945058804096,3589592.059741,0.0,42,944026027753104836,3720856085405640844
40168497,3588634.098307945058804096,3588588.393787,0.0,46,944026027753104836,3720856085405640844
40169497,3588711.831222000000637526,3588700.761101,0.0,11,943990201274639691,3720997299975702791
40170497,3588711.831222000000637526,3588702.777365,0.0,9,943990201274639691,3720997299975702791
40171497,3583773.675564225781389883,3583772.012743,0.0,1,943990201274639691,3720997299975702791
40172497,3583773.675564225781389883,3583772.353026,0.0,1,943990201274639691,3720997299975702791
40173497,3583401.062332997920460939,3583400.422714,0.0,1,943990201274639691,3720997299975702791
40174497,3584695.613783911574419879,3584689.29948,0.0,6,943990201274639691,3720997299975702791
40175497,3584695.613783911574419879,3584700.187936,0.0,-5,943990201274639691,3720997299975702791
40176497,3584695.613783911574419879,3584700.226161,0.0,-5,943990201274639691,3720997299975702791
40177497,3581677.181934000000304838,3581677.873915,0.0,0,943987283049715099,3721008802998317723
40178497,3581603.713664483298123805,3581605.666981,0.0,-2,943987283049715099,3721008802998317723
40179497,3581603.713664483298123805,3581608.490387,0.0,-5,943987283049715099,3721008802998317723
40180497,3581603.713664483298123805,3581597.807703,0.0,6,943987283049715099,3721008802998317723
40181497,3579503.606390156883048459,3579483.720031,0.0,20,943987283049715099,3721008802998317723
40182497,3579503.606390156883048459,3579481.388908,0.0,22,943987283049715099,3721008802998317723
40183497,3563086.523701831536111841,3563063.708024,0.0,23,943987283049715099,3721008802998317723
40184497,3561702.589099691928024763,3561679.637581,0.0,23,943987283049715099,15771427802998317722
40185497,3561164.295158611486465213,3561130.363913,0.0,34,943987283049715099,15771427802998317722
40186497,3561164.295158611486465213,3561136.760554,0.0,28,943987283049715099,15771427802998317722
40187497,3561164.295158611486465213,3560908.961344,0.0,256,943987283049715099,15771427802998317722
40188497,3558164.295158611486465213,3557945.802107,0.0,219,943987283049715099,15771427802998317722
40189497,3550561.326503622596769245,3550323.328817,0.0,238,943987283049715099,15771427802998317722
40190497,3550587.619665622596769245,3550333.427579,0.0,254,943987283049715099,15771427802998317722
40191497,3538874.218222786430989413,3538654.680257,0.0,220,943987283049715099,15771427802998317722
40192497,3530356.375315786430989413,3530125.728247,0.0,231,943987283049715099,15771427802998317722
40193497,3530296.088024519755775695,3530108.809554,0.0,188,943987283049715099,15771427802998317722
40194497,3530265.565516642774587532,3530123.412516,0.0,142,943987283049715099,15771427802998317722
40195497,2958181.883429463755190792,2958165.991609,0.0,16,943987283049715099,15771427802998317722
40196497,2958181.883429463755190792,2958608.026506,0.0,-427,943987283049715099,15771427802998317722
40197497,2914142.622078000000805153,2914249.669966,0.0,-107,943653269538250778,15777010224160131921
40198497,2914087.660928000000805153,2914499.785259,0.0,-412,943653269538250778,15777010224160131921
40199497,2914087.660928000000805153,2914984.015065,0.0,-897,943653269538250778,15777010224160131921
40200497,2914087.660928000000805153,2915044.064388,0.0,-957,943653269538250778,15777010224160131921
40201497,2914087.660928000000805153,2915290.073381,0.0,-1203,943653269538250778,15777010224160131921
40202497,2914087.660928000000805153,2915923.417738,0.0,-1836,943653269538250778,15777010224160131921
40203497,2914087.660928000000805153,2916088.185323,0.0,-2001,943653269538250778,15777010224160131921
40204497,2914087.660928000000805153,2920653.141741,0.0,-6566,943653269538250778,15777010224160131921
40205497,2914087.660928000000805153,2921699.693862,0.0,-7612,943653269538250778,15777010224160131921
40206497,2922418.976029000000039562,2923044.668264,0.0,-626,936953065529080343,15889832510617937153
40207497,2922418.976029000000039562,2934098.100966,0.0,-11680,936953065529080343,15889832510617937153
40208497,2926964.839212000000193662,2925941.665436,0.0,1023,930416826762197306,16001459618240878504
40209497,2926964.839212000000193662,2925357.123041,0.0,1607,930416826762197306,16001459618240878504
40210497,2718539.269340000000105754,2718988.297805,0.0,-449,923157006927695993,16127297057642533275
40211497,2718539.269340000000105754,2723099.397436,0.0,-4560,923157006927695993,16127297057642533275
40212497,2718539.269340000000105754,2729995.447768,0.0,-11456,923157006927695993,16127297057642533275
40213497,2721782.062741000000085596,2725664.112905,0.0,-3882,914864814310410519,16273472373936617797
40214497,2721519.310040000001256987,2717605.223509,0.0,3914,914748528346837506,16275541113439377085
40215497,2706519.310040000001256987,2700928.00308,0.0,5591,914748528346837506,16275541113439377085
40216497,2706519.310040000001256987,2722086.188191,0.0,-15567,914748528346837506,16275541113439377085
40217497,2720686.832011000001812516,2722926.705596,0.0,-2240,907097950672804143,16412811064697601854
40218497,2725630.056767142028222425,2724586.465523,0.0,1044,904111888438577067,16467018597973642147
40219497,2725514.563499629825900642,2724224.24494,0.0,1290,904111888438577067,16467018597973642147
40220497,2725514.563499629825900642,2717039.04398,0.0,8475,904111888438577067,16467018597973642147
40221497,2718435.894259170424093316,2705774.314386,0.0,12661,904111888438577067,16467018597973642147
40222497,2718435.894259170424093316,2709049.981555,0.0,9386,904111888438577067,16467018597973642147
40223497,2717357.453824256787728509,2704320.664179,0.0,13037,904111888438577067,16467018597973642147
40224497,2717357.453824256787728509,2704215.617218,0.0,13142,904111888438577067,16467018597973642147
40225497,2717357.453824256787728509,2697481.991603,0.0,19876,904111888438577067,16467018597973642147
40226497,2717357.453824256787728509,2699872.053722,0.0,17485,904111888438577067,16467018597973642147
40227497,2717203.135653791750234318,2701392.289777,0.0,15811,904111888438577067,16467018597973642147
40228497,2715572.287948606627245157,2698909.591816,0.0,16663,904111888438577067,16467018597973642147
40229497,2714452.492314805111196788,2694286.562092,0.0,20166,904111888438577067,16467018597973642147
40230497,2714452.492314805111196788,2693672.036979,0.0,20780,904111888438577067,16467018597973642147
40231497,2714452.492314805111196788,2692596.851996,0.0,21856,904111888438577067,16467018597973642147
40232497,2714452.492314805111196788,2693028.574733,0.0,21424,904111888438577067,16467018597973642147
40233497,2714452.492314805111196788,2690764.786993,0.0,23688,904111888438577067,16467018597973642147
40234497,2714452.492314805111196788,2681861.302849,0.0,32591,904111888438577067,16467018597973642147
40235497,2714452.492314805111196788,2680031.262679,0.0,34421,904111888438577067,16467018597973642147
40236497,2714452.492314805111196788,2682713.653138,0.0,31739,904111888438577067,16467018597973642147
40237497,2714452.492314805111196788,2677642.025483,0.0,36810,904111888438577067,16467018597973642147
40238497,2714452.492314805111196788,2681566.961632,0.0,32886,904111888438577067,16467018597973642147
40239497,2714452.492314805111196788,2674304.487631,0.0,40148,904111888438577067,16467018597973642147
40240497,2714452.492314805111196788,2674108.485961,0.0,40344,904111888438577067,16467018597973642147
40241497,2714452.492314805111196788,2673293.834596,0.0,41159,904111888438577067,16467018597973642147
40242497,2714452.492314805111196788,2672327.985327,0.0,42125,904111888438577067,16467018597973642147
40243497,2714452.492314805111196788,2672424.135951,0.0,42028,904111888438577067,16467018597973642147
40244497,2714452.492314805111196788,2672886.750889,0.0,41566,904111888438577067,16467018597973642147
40245497,2714452.492314805111196788,2672294.075931,0.0,42158,904111888438577067,16467018597973642147
40246497,2714452.492314805111196788,2671755.452354,0.0,42697,904111888438577067,16467018597973642147
40247497,2714452.492314805111196788,2673207.426714,0.0,41245,904111888438577067,16467018597973642147
40248497,2714452.492314805111196788,2673426.587286,0.0,41026,904111888438577067,16467018597973642147
40249497,2714452.492314805111196788,2674118.830314,0.0,40334,904111888438577067,16467018597973642147
40250497,2714452.492314805111196788,2675636.422168,0.0,38816,904111888438577067,16467018597973642147
40251497,2714452.492314805111196788,2676066.451875,0.0,38386,904111888438577067,16467018597973642147
40252497,2714452.492314805111196788,2676403.611037,0.0,38049,904111888438577067,16467018597973642147
40253497,2714452.492314805111196788,2675759.306296,0.0,38693,904111888438577067,16467018597973642147
40254497,2714452.492314805111196788,2676008.937884,0.0,38444,904111888438577067,16467018597973642147
40255497,2714452.492314805111196788,2675163.858523,0.0,39289,904111888438577067,16467018597973642147
40256497,2714452.492314805111196788,2675207.243927,0.0,39245,904111888438577067,16467018597973642147
