Account,Latest Balance
0x1a114203392b3237a59950125eb861a7ba32c3e6,3000000000000000000
0xa46df52e5349a87141cf48d5806a97a774be4d74,14149731318683953576
0x953ad46ade32e1c2e76d725544811e4dd410cb50,1431703131036940527255
0x0b07cfdf4772cc7d6110621e9114ce527f41bb66,20969449389092962306819
0x2de85299198a1502f20c8efb52c1b46e158039a6,996434636762496235
0x62d51fa08b15411d9429133ae5f224abf3867729,9999174700000000000
0x1ab3087e181a5cfd09684f38d3412597d8df4f1f,2000000000000000000000
0xa8ec46a09a56da39011c82220eed0cf22a257f89,3299191778254120014000000000
0x092471cffe4b941c896bfec001fe8bcc73a991d9,1
0x84e8ee329e2f868496de8f73e0cdc77e0d7b9f88,1
0x6648b5554632ed5d6ec27ec6737e98a0a3dbbc94,1
0x0319000133d3ada02600f0875d2cf03d442c3367,177355188812849000000000
0xf4b67f83a65500d2692e2637acfe382ce09fc90b,754853830776988888
0xb7fda9fab3215b27978fbc701844df331216fd8a,1
0x5bc0aa095632c76da0be9838d960da9a66fca30e,1
0xf17ed06ebb4713c8cfc84586b7060391f8696e72,1
0x8c2c050bbcb855aebbc4dd537c27073d82f8758e,868158827071554476
0x32269695c15291f6dec6aee9489af817da964999,1733289474787180531
0x54727a65cc4f71418a29a6f18e5be808efe89856,7501781281000000000
0x9f21fa3d141d5af5930a95bef9394bfa8c743eb7,753550400965647536
0x53c8ede52dc28de5f48c10696cbc36c1d0282c61,994873379000000000000
0x1a2ce410a034424b784d4b228f167a061b94cff4,24310590818782226284188
0x826b8d2d523e7af40888754e3de64348c00b99f4,78738768308746233000000
0x342280eb6b2faebeb4e66bda3c6c9c4eff2c8fa0,9913278102793352300
0xcd51be3eb3e13d1c144a7fa2536c12a4040a8e29,1
0xba7e06d73958c451ed17ec33d019c38511df3035,482977000000000000000000000
0xea577c64cd447224488e2769ce9a1ca3dd73ab1f,49319935776950164659
0xccc3ea48407e9a58c70b2e99c08ae3f47ec324c7,3786706481420105337
0x5ad1c2d12f9947bd76ea4567bd0867977318f11e,286868354985237521347
0x5861a24a5de93403af1342940cdc3898387e198a,97165251401396850
0xf05d63442fb046e6f82c9227bcf4753292c4dd05,9099500501000000000000000000
0x51acddb3c4c37a5f9239d92eddd8ea0a59515ddd,4781334942498574676
0xe432fc238e83fdb7143b6df9400d91d3525c6986,240296413869338746
0xaa9b0d7d73e6613ab65a19d72457910384eea35e,480592827738677
0xb3b2dd24cc4fbecde44b242ac981782d1d0f58e6,961187577852511
0xb3e5f9f58040e06a34304c3563b8ed50f0ac2960,19803467475644966189
0xec93a4a53be1b7e2a49fb0f076b79743d0b7c168,223866279715561937
0x15c6ba6804cd8d0ea0afca7a2b976aca877434fb,13806859249225368568
0x9c4927530b1719e063d7e181c6c2e56353204e64,1315918992781389580632579
0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,1009288709633769008501
0xe56169888ab88d11c6ad4247b8650e72566f8569,205772324855910705050
0x41222a33d9b40173118bd8b80114a9ce3617664e,5732106171121491984943
0x3bac6de48b10b51184faba45547b942039772355,7161293619419495901
0xd2737fa3f336c1106a65b69379ce4a53f02128e7,1540602800877869556425
0x5922c9d7335e456a4955cb4fd307b387d687de10,46866531774936608476
0x2385233abb910357e2b97a16d40e0443e53d0769,960908144162521898
0x8af56d7e7ed5ad7296b0af17f00a5133e66f1ec9,1
0xd4214d008267ae6b6134fc4de0a0f27b5866986f,1
0x181f12264d9b89978e0bbfedd9bb5e2456072592,1
0xdad1f1932b0fd288146ba9c21cff203e446d2228,1916831565437080099
0x1528e32db9fcfc0031f1a5d038acf50f08fa3be1,1833270199815778136
0x6158163face033046dc3773df300972f489d42f7,1
0xcfdbc75a72e630d99b4b45039d2d2770a181313c,1950569671488076706579
0x1164e81bfa7fc4ff6117f073176d96798305ed60,7793821877318125511761
0xd687822e07cb5a2fc023eacf75a61c6d1874f7b5,9596312322172224509
0xf320645702b83b549cadc976d74d4fd52b545546,1
0xbf9b4d7fbd072a17d39df9f2a51f764ef047f457,1
0xc6352c3e07e79797b0aaffe558706f0e1fca6853,681339668633400963690
0x2b39716855d0c5ace5c70df122a331b46a1cf7de,8054276477626472
0x6992bd823bb63e189a827566c648ece23adc6de9,3485832482306312354
0x42f2d5c7fdab13a5d740fbebcc66d227fb993d81,35737413610434988937
0x79428f0e6b83b099b76d6ffba51a35c4f5d4c7de,17361356540659337
0x69cd1c2e13113c09a22ff98cbd2db3f682f716b4,1
0x28aa4f9ffe21365473b64c161b566c3cdead0108,85696988006183678092
0xce72e8a33b8279af2fd22151a81950e34b57b47f,956273838588589545
0x3ef000bae3e8105be55f76fda784fd7d69cff30e,33321015303720055
0xd13cf36b646adcad473523f7b32baa74f4f8f502,284026870050888900499
0x69f47bb74b855ada42237e82e65cd724764fabaa,955972850554227203
0x49a5492fdfe5acc966dd5f41310dfdfe8daa349c,9477284801007771094
0x1e8e4445f7736084a48c3cca4cf3d148ec6cb3fc,4649305818021199400408
0xc38e6640816b2731ed595780582a87c9b990d0c0,1396760258324211919120
0x5d0af5a949d65bc9e8c2f8be252f7d0f76816a00,2387359969165555785000
0x03f53cdc6b3513baa0829fd91508254dfcd60fc4,1
0xba0c565110f65d181b9ff1d8a9f787b52857bb0c,4619616759444881651206
0x6d04b3f82a0b42a09f355fea3bccce3c819ad5b5,9193332605543810434
0xffd1d00554ea254f267d3f73658d6ee69fbdee52,523382260973502380794
0xecff9446b4fac66ab6d8a41933ada98eb66b38d6,979345169071436560
0x4be92e8062fa7f142a485449ff21e1d88fc9e357,24552673500857672365
0x5bc7bcba624bb090865811f32dba5b9baf7ca761,8931247525126050697926
0xd6eeb6cbdd907c7b6367c39378b11a2a54dc2471,1
0x9f7a6d35107014a120c66baa63ad25e71ff2e519,1748279891506717211944
0x4f9b3eb1cdb7a46b2cd42da6789c91ab633cddf8,574474825235878964
0xaf424c4a02ee66616e4a407cb5280ac73ac96886,2749183138217008007
0x82b60cc81563fdc98132035cb36f6174b251af53,1
0xa9a5f6a3777d128d7abf2ff972ca146a13a3fca3,726670430592071904699
0xd927ce147f098ce634301e6c4281541b1939a132,1425692858575412034000
0xebe715d9c5a616f957923742630d9337f7dfadec,406908179211853936278
0x199550f63d9310fb9a1c3bbef4885be47c57f671,2922402863233591692714
0xb86b5568853c5963dd9b9836f5ec94a15966bbc9,191507917732163267534
0x0fe1aa632a2837239f218e3efad21e8018a9f4ef,3488087235195670455075
0x2f69ff6e00cfe0e9dd1da7d6f6bc745ea6cd6ae5,814555375399968346337
0xf5c879fd536b2c26783404481a2711f040d04029,850380027764609003642
0x728839a19f65a4fdf096373d1490a7f249ffe9e7,6869671762496838801086
0xfe8427a949048d14bb26778fa1253d79aadab6ee,177618189571562
0x048ffae5c45985805e5bed87e5d4ba24198f7bee,89294726970247440605
0xff53e3a27b7252148e0f1daf4a00261eee59177f,1
